English sentence,Swahili Translation
"Children begin by loving their parents; after a time they judge them; rarely, if ever, do they forgive them.",Watoto huanza kwa kuwapenda wazazi wao; baada ya muda wanaowahukumu; wakitaka huwawasamehe mara chache.
The seeds of evil deeds are evil thoughts.,Mbegu za matendo maovu ni mawazo mabaya.
I wanted to share with you a new application that I'm using to create a memory book for my grandfather who recently passed away.,Nilitaka kushiriki nawe programu mpya ambayo ninatumia kuunda kitabu cha kumbukumbu kwa babu yangu mkubwa aliyeaga hivi majuzi.
"It isn't because I don't want you to laugh at me, rather it is because I'd like to laugh at you.","Sio ati sitaki mnicheke, bali ni kwa sababu napenda kukuchekelea."
"Now that same-sex marriage is legal, I'm one step closer to marrying myself.","Sasa hiyo ndoa ya jinsia moja ni halali, nimebakisha hatua moja kujioa mwenyewe."
They train you to act before thinking. Just execute orders.,Wanakufundisha kutenda kabla ya kufikiria. Toa maagizo tu.
Elite soldiers are almost always selected among the special forces.,Wanajeshi hodari karibu siku zote huchaguliwa kati ya vikosi maalum.
I want to change the world.,Nataka kubadilisha dunia.
"Ladies and gentlemen, thank you very much indeed.","Mabibi na mabwana, asanteni sana kwa dhati."
"If I change my name in order to avoid racist comments, then why don't I change the color of my skin as well?","Ikiwa ninabadilisha jina langu ili niepuke maoni ya ubaguzi wa kirangi, kwa nini pia nisibadilishe rangi ya ngozi yangu?"
How many nuclear bombs does the United Kingdom have?,Uingereza ina mabomu mangapi ya nyuklia?
How many cars can this garage hold?,Ni magari mangapi gereji hii inaweza kuchukua?
Are they free on Friday afternoon?,"Je, utakuwa huru Ijumaa alasiri?"
They call her Lena.,Wanamuita Lena.
How much does it cost to eat at such a place?,Inagharimu hela ngapi kula mahali kama hapo?
How do we do that?,Tunafanyaje hivyo?
Sharks eat fish.,Papa ana kula samaki
I'm hitting the road.,Ninaanza safari.
I missed you so much.,Nilikukosa sana.
I've never told anyone that before.,Sijawahi kuambia mtu hilo hapo mbeleni.
"Suddenly a man appeared, packed my suitcase and ran away.","Ghafla mtu akatokea, akapakia bagi langu na kukimbia."
Can I know where you work?,"Je, naweza jua unakofanya kazi?"
How long do you have to eat lunch?,Unataka kula chakula cha mchana kwa muda gani?
Do you think fried chicken should be eaten with a fork or with your fingers?,"Je, unafikiri kuku wa kukaanga inapaswa kuliwa na uma au na vidole vyako?"
Get out of my face.,Ondoka usoni mwangu.
The fat girl is eating too much sweets with lots of sugar.,Huyo msichana mnene anakula vitu vitamu sana vyenye sukari nyingi.
Don't kid yourself. You couldn't afford to buy a house like this.,Usijipumbaze. Hungweza kununua nyumba kama hii.
Just follow my lead.,Uni fuate tu.
"I've just arrived at the top of a mountain. That's really surprising, because according to my map, there should be a lake here.","Nimefika tu kilele cha mlima. Hiyo inashangaza sana, kwa sababu kulingana na ramani yangu, kunapaswa kuwa na ziwa hapa."
One day you'll understand.,Siku moja utaelewa.
The temperature fell to five degrees below zero.,Joto lilishuka hadi nyuzi tano chini ya sifuri.
You can't ask him to do that.,Huwezi kumwambia afanye hivyo.
She's obsessed with the Harry Potter books.,Anapenda sana vitabu vya Harry Potter.
How many did you get?,Ulipata ngapi?
I can't do this.,Siwezi kufanya hivi.
She lied to me.,Alinidanganya.
We traveled through the whole land.,Tulisafiri nchi nzima.
He's old enough to go to school.,Ana umri wa kutosha kwenda shule.
We've known each other for a long time.,Tumejuana kwa muda mrefu.
You're acting like a child.,Unafanya mambo kama mtoto.
You must face your fears.,Lazima ukabiliane na woga wako.
What surprises me is that they can actually sell that product for so much money.,Kinachonishangaza ni kwamba wanaweza kuuza bidhaa hiyo kwa pesa nyingi.
Education is important.,Elimu ni muhimu.
She's only a couple of years older than me.,Ana umri mdogo tu kunizidi.
He had but one desire: to shrink away and live among the lights and shadows.,Alikuwa na hamu moja tu: kufinyika na kuishi kati ya taa na vivuli.
"During the entire lesson, he counted flies.","Wakati wa somo lote, alihesabu nzi."
The lion roars.,Simba ananguruma.
"Honor! truly a very convenient coin, which those who know how to pass it may lay out with great advantage.","Kuenzi! kweli sarafu inayofaa sana, ambayo wale wanaojua kuipitisha wanaweza kupata na faida kubwa."
The company issued a press release.,Kampuni ilitoa taarifa kwa waandishi wa habari.
We've taken a long hard look at your sales-directed communication and decided to buy some of the weed that you smoke.,Tumechukua muda mrefu kutazama mawasiliano yako ya moja kwa moja kwa mauzo na tukaamua baadhi ya bangi unazovuta.
Harry put on his robe and wizard hat.,Harry alivaa vazi lake na kofia ya kichawi.
I've been trying to hack my way into the system.,Ninajaribu kuingilia mawasiliano ya mfumo huu.
We ate some turtle soup.,Tulikula supu ya bata.
Please wait a minute.,Tafadhali subiri kidogo.
"""Do you think that Russia and America can become friends?"" — ""Yes, certainly! I'm absolutely sure. Whatever may happen, our most important friend will be America in any case, but whether South or North America - that depends on you.""","""Je, unafikiri Russia na Amerika wanaweza kuwa marafiki?"" — ""Ndio, kwa hakika! Nina uhakika kamili. Chochote kinachoweza kufanyika, rafiki yetu muhimu zaidi ni Amerika kwa hali yoyote, lakini iwe Amerika ya Kaskazini au Kusini - hiyo inakutegemea."""
I can't come right now.,Siwezi kuja sasa hivi.
We can't keep on fooling ourselves.,Hatuwezi kuendelea kudanganyana.
Feel the rhythm and follow the beat.,Sikiliza rithimu na ufuate mdundo.
They can't see me.,Hawawezi kuniona.
I can't think about anything else.,Siwezi kufikiria chochote.
Where do you get a haircut?,Unapata wapi kukata nywele?
I thought you guys had already left.,Nilifikiri mlikuwa mshaondoka.
"If a porter carries your luggage, don't forget to tip him.","Ikiwa hamali amebeba mzigo wako, basi usisahau kumuongoza."
The All-Russian Public Opinion Research Center measures Russian citizens' trust in politicians every week.,Kituo cha Utafiti cha Maoni ya Umma cha Urusi hutathmini imani ya raia wa Urusi kwa wanasiasa kila wiki.
In this store they like to bait and switch.,Katika duka hili wanapenda kuweka na kubadili.
He was never what the verdict of society calls drunk. Yet was he ever sober?,"Hakuwa mlevi kama wanajamii wanavyochukulia. Je, aliwahi kuwa shwari?"
A statement against social program cuts has been read.,Taarifa kuhusu kupunguzwa kwa mpango wa kijamii imesomwa.
"She was put in charge of the project, despite having zero leadership skills.","Aliwekwa katika usimamizi wa mradi huo, licha ya kukosa ujuzi katika uongozi."
"Those who are terrorists for some, are freedom fighters for others.","Wale ambao ni magaidi kwa wengine, ni wapigania uhuru kwa wengine."
He had a change of heart.,Alikuwa na mbadiliko moyoni.
This is but a humble downtown store.,Hii ni duka la chini la jiji.
"If the idiots would compete, you would be second because you are too idiot to be the first.","Ikiwa wakaidi wangekamilisha, ungekuwa wa pili kwa sababu wewe ni mkaidi sana kuwa wa kwanza."
I'm not sure where I should put this.,Sina uhakika pahali pa kuweka hili.
"Just the gesture is enough, thank you.","Ishara tu, inatosha, Asante."
Is this valuable?,"Je,hii ni ya thamani?"
I want to start a family.,Nataka kuanza familia.
I want us to be together.,Nataka tuwe pamoja.
I just want people to like me.,Nataka watu wanipendee.
We're resting naked in the warm sand.,Tunajilaza uchi kwa mchanga wenye joto.
Do you want me to tell the police?,"Je, ungependa niwaeleze polisi?"
I want to lodge a formal complaint.,Nataka kuweka malalamiko rasmi.
"I've been a member of this organization for five years. Oh wait, no. Six.","Nimekuwa mwanachama wa shirika hili kwa miaka mitano. Ah ngoja, hapana. Sita"
Do you want to come back to my office?,"Je, unataka kurudi ofisini mwangu?"
"They leave you, not so dark as the waiting house, not so surely promised to eternity as that which every night becomes the climbing stars.","Wanakuacha, sio giza sana kama nyumba ya kusubiria, bila hakika kama ahadi ya umilele kama ile ambayo kila usiku inakuwa nyota za kupandia."
"In Japan, people legally become adults at the age of twenty.","Huko Japan, watu hupata hadhi ya utu uzima kihalali, wakifikisha umri wa miaka ishirini."
Relations between China and Japan have been tense recently.,Mahusiano kati ya Uchina na Japan yamekuwa mabaya hivi karibuni.
I want to make sure there is enough.,Nataka kuhakikisha kuwa inatosha.
Let's save the environment!,Tuhifadhi mazingira!
"We are poor, but we are happy.","Tu masikini, lakini tunafuraha."
"Practice is tough. But, if it is for the sake of victory, then you must be able to endure.","Mazoezi ni magumu Lakini, ni kwasababu ya ushindi, basi inakulazimu ustahimili."
The grand prize is a kiss from the princess.,Zawadi kubwa ni busu kutoka kwa binti mfalme.
There's a famous book in English whose entire last chapter is a single sentence.,Kuna kitabu maarufu katika Kiingereza ambacho sura yake mwisho ni sentensi moja tu.
The Ministry of Environment would play a more important role that way.,Wizara ya Mazingira ingekuwa na jukumu muhimu zaidi kwa njia hiyo.
He entered the lion's den.,Aliingia katika pango la simba.
We are busy men.,Sisi tuna shughuli nyingi.
For my own part I wish the Bald Eagle had not been chosen the Representative of our Country.,Kwa upande wangu mwenyewe ningefurahi ikiwa Bald Eagle hangekuwa amechaguliwa Mwakilishi wa nchi yetu.
The secret is killing you.,Siri ni kukuuwa.
I heard that Mr. Collins asked you to marry him.,Nilisikia kuwa Mr Collins alikuomba akuoe.
You're awful at keeping secrets.,Wewe ni mbaya katika kutunza siri.
On the main menu of this DVD there is no 'Play Main Feature' button.,Kwenye menyu kuu ya DVD hii hakuna kitufe cha 'Play Main Feature'.
"For a bribe, a traffic policeman agreed not to take away a driver's license.","Kwa kuhongwa, polisi wa trafiki alikubali kutompokonya dereva mmoja leseni yake."
"It's poor form to spit from the window into the street, or into the fire, or anywhere people might step on what you have spit.","Ni vibaya kutema mate kutoka dirishani kwenda barabarani, au motoni, au popote watu wanapoweza kukanyaga ulichotema."
"According to the newspaper, she committed suicide.","Kulingana na gazeti hili, alijiua."
She showed me around.,Alifahamisha kila mahali.
Do something about that noise.,Fanya kitu juu ya kelele hiyo.
I have to take care of something.,Lazima nishughulikie kitu.
We must stop this dangerous plague.,Ni lazima tuzuie pigo hili ni hatari.
It is painful for me to see the name of the traitor among other names in the same sentence.,Ni chungu kwangu kuona jina la msaliti kati ya majina mengine katika sentensi moja.
The English Channel is the divide between Britain and Europe.,Kiingereza ndicho kinachotofautisha Uingereza na Ulaya.
Make sure the brain is engaged before putting the mouth in gear.,Hakikisha ubongo unafanya kazi kabla ya kuzungumza.
My tooth is giving me unbelievable pain.,Jino langu linanipa maumivu makali.
The members of the family had grave doubts regarding the explanation they received from the army.,Wanafamilia walikuwa na mashaka makubwa kuhusu maelezo waliyoyapata kutoka kwa jeshi.
We're serious.,Hatufanyi mzaa.
"The Latin language is not entirely unknown to me, but I altogether lack the ability to speak it.","Lugha ya Kilatini haijanipotelea kabisa kwangu, lakini kabisa sina uwezo wa kuizungumza."
I buy loads of stuff at that store.,Nanunua bidhaa nyingi katika duka lile.
I hate his talking big on every occasion.,Nachukua kuongea mengi kwake kila wakati.
He loves ritual.,Anapenda tambiko.
Mona is still running a temperature and should stay at home.,Mona ana joto jingi na anapaswa kukaa nyumbani.
"Most people who have lived in a foreign country have experienced some form of culture shock, although many people don't recognize it in themselves.","Watu wengi ambao wameishi katika nchi ya nje wamepata mshtuko wa kitamaduni wa aina fulani, ingawa watu wengi hawatambui."
I had never seen it.,Sikuwa nimeiona.
Bodies grow slowly and die quickly.,Miili inakua polepole na kufa haraka.
Was it worth it?,"Je, ilikuwa yenye thamani yake?"
Thank you for giving me those Italian magazines!,Asante kwa kunipa magazeti hayo ya Italia.
A lack of sleep affected the singer's performance.,Kukosa kulala kuliathiri utendaji wa mwimbaji.
Gloria hasn't lived in Rio for many years.,Gloria hajaishi Rio kwa miaka mingi.
He has spoken English well for many years.,Amezungumza Kiingereza vizuri hapa kwa miaka mingi.
My backyard is one step down and lower than the ground.,Ua wa nyumba yangu ni hatua moja chini kuliko ardhi.
I forgot that Barbara spoke French.,Nilisahau kuwa Barbara anazungumza Kifaransa.
He's not worthy of you.,Hakufai wewe.
"When it comes to drugs, there's a very fine line between use and abuse.","Linapokuja suala la dawa za kulevya, kuna tofauti ndogo sana kati ya matumizi na ulezi."
We grew closer every day.,Kila siku uhusiano wetu uliimarika.
How many kinds are there?,Ni aina ngapi zipo hapo?
"You made that mistake on purpose, didn't you?","Ulifanya kosa hilo kwa kusudi, sivyo?"
"Tell me, tell me.","Niambie, niambie."
Why don't you come in and have a cup of coffee?,Mbona usiingie ili tunywe chai?
I can't sleep without a midnight snack.,Siwezi kulala bila kitafunio cha usiku wa manane.
You're a psycho.,Una kichaa.
You're embarrassing me.,Unaniaibisha.
"There are four cardinal points: East, south, west and north.","Kuna sehemu nne za dira: Mashariki,kusini, magharibi na kaskazini."
He came kicking and screaming.,Alikuja akipiga mateke na mayowe.
I like shopping at the local farmers' market.,Napenda kununua katika soko la wakulima wa hapa.
Don't take yourself so seriously.,Usijikazie fikira kupita bkiasi.
What's your decision?,Unaamuaje?
His back was covered by a blue cape.,Mgongo wake ulifunikwa na joho la buluu.
We're leaving now.,Tunaondoka sasa.
We're not lost.,Hatujapotea.
We'll fix that.,Tutaishughulikia.
Bring her here.,Mlete hapa.
Close the hatch.,Funga angulio.
I heard that.,Nilisikia hayo.
I remind you that you are still under oath.,Nakukumbusha kuwa bado uko chini ya kiapo.
I'll jump in.,Nitaingia.
Just slow down.,Punguza polepole.
Pull the plug.,Komesha.
Take your pills.,Meza vidonge vyako.
That's so embarrassing.,Hilo lina aibisha sana.
Will you give me a free hand in the matter?,Tafadhali niache nifanye maamuzi yangu binafsi kuhusu jambo hili.
You'd like it.,Ungeipenda.
Queen Victoria was married in 1840.,Malkia Victoria aliolewa mnamo 1840.
He guessed the amount of money I had in my pocket.,Alibahatisha kiasi cha pesa nilichokuwa nacho mfukoni mwangu.
He likes games of chance.,Anapenda michezo ya kubahatisha.
The superintendent lives on the ground floor.,Msimamizi anaishi kwenye sakafu ya ardhi.
Happiness has no taste without sadness.,Furaha haina ladha bila huzuni.
"After winning all the matches, he got the title of champion.","Baada ya kushinda mechi zote, alipata taji la ubingwa."
Medical marijuana is legal in this state.,Bangi ya matibabu ni halali katika jimbo hili.
I need a shirt with a stiff collar.,Nahitaji shati ya kola gumu.
"In South America, there are many traces of Indian culture.",Amerika Kusini kuna athari nyingi za tamaduni ya India.
The handling of dynamite is dangerous.,Kudhibiti baruti ni hatari.
The president's death caused great sorrow.,Kifo cha rais kilisababisha huzuni kubwa.
The river has its source in the Rocky Mountains.,Mto huo una chanzo chake katika Milima ya Rocky
The witnesses appeared before the judge.,Mashahidi walijitokeza mbele ya jaji.
Don't you have a meeting?,"Je, huna mkutano?"
Have you ever kissed another girl?,"Je, umewahi kumbusu msichana mwingine?"
I didn't mean to yell.,Sikutaka kupiga mayowe.
There's been too much talk about that marriage.,Watu wanazungumzia sana ndoa
I don't even have a boyfriend.,Sina hata mwandani wa kiume.
You obviously don't have time.,Kusema kweli huna wakati.
Lots of people identified the United Kingdom with London.,Watu wengi hutambua Uingereza na London.
There are lots of risky places in London.,"Huko Japan, kuna chemchem nyingi za maji moto."
Don't you feel happy and relaxed?,Hujisikii unafurahi na kupumzika?
We kept our word.,Tulitimiza ahadi yetu.
I assume that was the only way to get the job done in time.,Nadhani hiyo ilikuwa njia pekee ya kufanya kazi hiyo ifanyike kwa wakati.
"I had gotten no sleep the night before, so I kept dropping off during the meeting.","Sikuwa nimelala usiku uliopita, kwa hivyo nilizidi kusinzia wakati wa mkutano."
I'm off.,Sipo kazini.
We had a jolly good time.,Tulikuwa na wakati mzuri.
I can't believe we've finally finished the project.,Siamini kuwa tumekamilisha mradi mwishowe.
The Swiss Guards protect the pope.,Walinzi wa Uswizi wanamlinda Papa.
She put the dirty laundry in the washing machine.,Aliweka nguo chafu kwenye mashine ya kuosha.
I checked into a motel and went right to sleep.,Niliingia hotelini na kuenda kulala moja kwa moja.
Pierce whatever ear you want. It doesn't mean you're gay.,Tobia sikio lolote utakalo. Haimaanishi kuwa wewe ni shoga.
The defendant stays in custody.,Mshtakiwa anakaa kizimbani.
I appreciate the value of what you're offering.,Ninathamini thamani ya kile unachotoa.
I did my job.,Nilifanya kazi yangu.
"This man is a police officer in the crime squad, not a criminal.","Mtu huyu ni afisa wa polisi katika kikosi cha uhalifu, sio mhalifu."
Michael Jackson was the most famous singer in the United States.,Michael Jackson alikuwa mwimbaji mashuhuri zaidi nchini Amerika.
I fail to understand what the problem is.,Nashindwa kuelewa shida ni nini.
I had to shoot my horse because he was in a lot of pain.,Ilinibidi fyatue farasi wangu kwa sababu alikuwa na maumivu makali.
She's an Ivy League graduate.,Yeye ni mhitimu wa Ivy League.
I feel a lack of confidence because I still have a ton of things to do.,Ninahisi kukosa na ujasiri kwani bado nina vitu vingi vya kufanya.
"Of the past 3,400 years, humans have been entirely at peace for 268 of them, or just 8 percent of recorded history.","Katika miaka 3,400 iliyopita, wanadamu wamekuwa na amani kabisa kwa miaka 268 kati yao, au asilimia 8 tu katika historia."
The task of philosophy is to discover the toilet long before it is needed.,Kazi ya falsafa ni kugundua kitu muda mrefu kabla ya kuhitajika.
There wasn't a single survivor.,Hakukuwa na manusura hata mmoja.
May I call later?,Nipigie simu baadaye?
I have absolutely no clue.,Sina habari kamwe.
I've been sent to escort you.,Nimetumwa kukusindikiza.
I've got no complaints.,Sina malalamishi.
I know that doesn't look good.,Nafamu jambo hilo halipendezi.
"On behalf of the government, the mass media are abused.","Kwa niaba ya serikali, vyombo vya habari vinanyanyaswa."
We had an especially harsh winter.,Tulikuwa na msimu wa baridi kali.
I keep asking myself that same question.,Ninaendelea kujiuliza swali lilo hilo.
I know you're both angry with me.,Ninajua nyingi wawili mmenikasirikia.
I left you a note.,Nilikuachia barua.
I let my emotions cloud my judgment.,Ninaacha hisia zangu ziathiri uamuzi wangu.
"I may be old, but I'm not crazy.",Huenda Mimi ni mzee lakini sijarukwa akili.
I need you to explain something to me.,Nataka unifafanulie kitu.
He crossed the road on foot at the red light.,Alivuka barabara kwa miguu kwenye taa nyekundu.
Why don't we duck back inside?,Mbona tusirudi ndani?
I think you're attractive.,Nadhani unapendeza.
I still can't believe it.,Bado siwezi kuiamini.
I suppose you'll be needing this.,Nadhani utahitaji hii.
I think I have it figured out.,Nafikiri nimeisuluhisha.
Her father is a bank employee.,Baba yake anafanya kazi benki.
All she received was a slap on the wrist.,Kitu alichopokea ni kofi kwenye kifundo mkononi.
"Although the United States has some of the most modern weapons in the world, it has won very few wars.","Ingawa Amerika ina silaha zingine za kisasa zaidi ulimwenguni, imeshinda vita chache sana."
Italian Americans are famous for not being able to speak Italian. It's really a shame!,Waitaliano wa Kimarekani wanajulikana kwa kutoweza kuongea Kitaliano. Ni aibu kweli!
The centre will remain closed for two months during the summer.,Kituo hicho kitabakia kufungwa kwa miezi miwili wakati wa msimu wa joto.
Grandmother's passing away came as a great blow to the entire family.,Kuaga kwa bibi kulikuwa pigo kubwa kwa familia nzima.
I studied French for three years with a native speaker.,Nilisoma Kifaransa kwa miaka tatu na mzaliwa wa lugha.
Who's the one who's writing this bullshit?,Ni nani anayeandika upuuzi huu?
She's more popular than me.,Yeye ni maarufu kuliko mimi.
He's more popular than me.,Yeye ni maarufu kuliko mimi.
My computer stopped working a few days ago.,Kompyuta yangu iliacha kufanya kazi siku chache zilizopita.
This book was a great bargain.,Kitabu hiki kilikuwa ushawishi mkubwa.
Beat the egg before putting it in the soup.,Twanga yai kabla ya kuliweka kwenye supu.
I can't stop thinking about him.,Siwezi kuacha kumfikiria.
The machine was working at full blast.,Mashine ilikuwa ikifanya kazi kamili.
How can I sleep when there are unknown lands within?,Ninawezaje kulala wakati kuna ardhi isiyojulikana?
Mr David seems tired.,Bwana David anaonekana amechoka.
They discovered a very talented player during summer training.,Waligundua mchezaji mwenye talanta sana wakati wa mafunzo ya majira ya joto.
The crime would have been perfect if the thief hadn't forgotten to wipe his fingerprints.,Uhalifu huo ungekamilika ikiwa mwizi hangesahau kufuta alama za vidole.
We tend to think that our time is really only ours on Sunday and during the holidays.,Huwa tunafikiria kwamba wakati wetu ni wetu tu Jumapili na wakati wa likizo.
I would prefer to spend six months in jail rather than getting busted.,Ningependa kukaa jela miezi sita badala ya kuaibishwa.
I was a second lieutenant in the special forces.,Nilikuwa luteni wa pili kwenye kikosi maalum.
My telephone plan does not accept reverse charge calls.,Utaratibu wa malipo wa simu yangu haukubali kulipia simu za kugeuza malipo.
Even a small amount of human blood in the water can attract sharks from miles away.,Hata kiwango kidogo cha damu ya binadamu ndani ya maji kinaweza kumvutia papa aliye maili mbali.
We're trying to cut down expenses.,Tunajaribu kupunguza gharama.
"I dropped her a broad hint, but she didn't catch on.",Nilimdokezea kitu lakini hakuelewa.
"When I was in New York, I visited Brooklyn.",Nilitembelea Brooklyn nilipokuwa New York.
Even your silence can be a part of prayer.,Hata ukimya wako unaweza kuwa sehemu ya sala.
It's summer already.,Ni msimu ya jua kali tayari.
Emily is afraid of heights.,Emily ana hofu ya kuwa mahali palipo na urefu wa juu.
My friends generally call me Freddy.,"Kiujumla, rafiki zangu huniita Freddy."
I'm going to do my homework right after dinner.,Nitafanya kazi yangu ya shule baada tu ya kula chakula cha jioni.
I thought you might be interested in this.,Nilifikiria kuwa unaweza kuna na nia na hii.
I'll personally guarantee your safety.,Nitakuhakikishia usalama wako.
I'm not trying to control you.,Mimi sijaribu kukuthibiti.
I'm pleased to have you here.,Nimefurahiya kuwa nawe hapa.
I'm beginning to understand.,Ninaanza kuelewa.
You need to listen to us.,Unahitaji kutusikiliza.
The restaurant was quiet.,Mkahawa ulikuwa kimya.
I was just being polite.,Nikuwa mkarimu tu.
I'm open to new ideas.,Niko wazi kwa maoni mapya.
I'm going to win this.,Nitashinda hili.
I'm glad you think so.,Ni vyema unafikiria.
I'll come help you.,Nitakusaidia.
You're my woman.,Wewe ni mwanamke wangu.
I'll get to it.,Nitaishughulikia.
A few loose ends remain to be cleared up.,Machache bado yamesalia kukamilishwa.
"Learning a new language is like meeting someone for the first time who always claims you are wrong, and worse - has the ability to prove it.","Kujifunza lugha mpya ni kama kukutana na mtu kwa mara ya kwanza ambaye kila wakati anadai kuwa umekosea, na mbaya zaidi - ana uwezo wa kuthibitisha."
"The chances of being attacked by a shark are very low, especially in a pool.","Nafasi za kushambuliwa na papa ni za chini sana, haswa katika dimbwi."
Are the Bush administration and al-Qaida the two sides of the same coin?,"Je, utawala wa Bush na al-Qaida ni pande mbili za sarafu moja?"
The floor is cold.,Sakafu ni baridi.
My sister is a genius!,Dada yangu ni mwerevu sana!
"If you press the nose, the mouth opens.","Ikifinya pua, mdomo utafunguka."
You can judge your age by the amount of pain you feel when you come in contact with a new idea.,Unaweza kujua umri wako kwa kiasi cha maumivu unayosikia unapokutana na wazo jipya.
"When the cat is blind, the mouse becomes bold.","Paka akiwa kipofu, panya anakuwa jasiri."
I love the sound of wind chimes.,Ninapenda sauti ya mchechemo wa upepo.
"Dig for gold, dig a well, dig chicken bones. :)","Chimba dhahabu, chimba kisima, chimba mifupa ya kuku. :)"
"While feeding only on hope, you can die of hunger.","Kujilisha tu kwa matumaini, unaweza kufa kwa njaa."
The handle of an axe is Death to its own tribe.,Kishikio cha shoka ni kifo kwa kabila lake.
"While calling her mother, she suddenly remembered something.","Alipokuwa akipigia mamake simu, ghafla alikumbuka kitu."
I'll sell a kidney to the one who finds it.,Nitauza figo kwa yeyote yule anayeitafuta.!
I'd like to see the sixth film of Harry Potter.,Ningependa kutazama filamu ya sita ya Harry Potter.
He's a used car salesman.,Ni muuzaji wa magari ya mitumba.
Keeping a horse is a big responsibility.,Kutunza farasi ni jukumu kubwa.
The ground beef was found to contain horse meat.,Nyama ya ardhini ilipatikana na nyama ya farasi.
I want to be a nature photographer.,Nataka kuwa mpiga picha wa asili.
"Currently, both of these projects have been realized.","Hivi sasa, miradi hizi zote miwili zimekamilishwa."
The international code for calling Italy is 39.,Kodi ya kupiga simu kimataifa nchini Italia ni 39.
My eyes weren't sharp enough to tell whether the black spot on the ceiling was a spider or a fly.,Macho yangu hayakuwa makali vya kutosha kujua ikiwa doa nyeusi kwenye dari lilikuwa buibui au nzi.
I want a Hello Kitty pencil board.,Ninataka bodi ya penseli ya Hello.
The lower lip is bigger than the upper lip.,Mdomo wa chini ni mkubwa kuliko mdomo wa juu.
I'm begging you father. Please get on good terms with him. This friendship is so dear to me that I can't put it into words.,Nakuomba baba. Tafadhali tafuta upatanishi naye. Nathamini urafiki huu sana kiasi kwamba siwezi kusema.
Do you agree or disagree?,"Je, unakubali ua unakataa?"
"In the eyes of many, poverty is much worse than vice: it's a weakness.","Machoni mwa watu wengi, umaskini ni mbaya zaidi kuliko uovu: ni udhaifu."
I'll try to kill two birds with one stone and get my wife an anniversary present during my business trip to the States.,Nitajaribu kutekeleza mambo yote mawili na kumtafutia mke wangu zawaidi ukumbusho wakati wa safari yangu ya biashara Amerika.
This knife is razor sharp.,Kisu hiki ni kali kama wembe
You can avoid this kind of problem if you bear these tips in mind.,Unaweza kuepuka tatizo kama hili ikiwa utazingatia vidokezo hivi.
He ate a goat cheese burger.,Alikula steki ya nyama ya mbuzi.
Your voice makes my ears bleed!,Sauti yako inaharibu masikio yangu.
Do you think I'm an idiot that I would fall for such an old trick?,Unafikiri mimi ni mjinga nikakubali ujanja huo wa zamani?
What were you doing in my apartment?,Ulikuwa unafanya nini kwenye chumba changu?
Are you wearing lipstick?,"Je, umepata lipstick?"
We need some more time.,Tunahitaji wakati zaidi.
Have yourself a drink.,Karibu kinywaji.
Was the door closed?,"Je, mlango ulikuwa umefungwa?"
We had our reasons.,Tulikuwa na sababu zetu.
Is that a secret?,Hiyo ni siri?
The soldiers forced the young men to join the army.,Maaskari waliwalazimisha vijana wadogo kujiunga na jeshi.
I drank the coffee.,Nilikunywa kahawa.
"How can we ask for humans to respect nature, the planet and the animals if respect between them does not exist?","Tunawezaje kuuliza binadamu kuheshimu maumbile, sayari na wanyama ikiwa heshima kati yao haipo?"
Adopt the pace of nature: her secret is patience.,Pitisha kasi ya maumbile: siri yake ni uvumilivu.
A group of men stands in front of the hut.,Kundi la wanaume limesimama mbele ya kibanda.
This accident has caused him psychological trauma.,Ajali hii imesababisha kiwewe cha kisaikolojia.
Er? What did I come to this room for?,Er? Nilikuja chumba hiki kufanya nini?
The password should have a minimum of six characters.,Neno la siri linapaswa kuwa na angalau herufi sita.
"If there had been a problem, we'd have heard about it.","Ikiwa kulikuwa na shida, tungejua."
We've got a major problem on our hands.,Tuna shida kubwa kwenye mikono yetu.
The problem was time.,Tatizo lilikuwa muda.
Walking on a train platform while using your cellphone is very dangerous.,Kutembea kwenye jukwa la kupandia treni wakati unaongea na simu ni hatari.
They robbed the jewelry store during the night.,Waliiba duka la mapambo usiku.
Elaine is in hospital.,Elaine yuko hospitalini.
x does not belong to the set B because it belongs to the set A.,x haipo katika seti B kwa sababu ipo katika seti A.
"All around, as far as the eye could reach, nothing could be seen but fields of ice, in which the ship remained stuck fast.","Sehemu zote, jicho lilipoweza kufikia kuona, hakuna kitu kilichoweza kuonekana isipokuwa uwanja wa barafu, ambamo meli ilibaki ikishikilia sana."
It's best to discuss relationship issues directly with your partner.,Ni bora kujadili masuala ya uhusiano moja kwa moja na mwenzi wako.
I think that there are more people in the countryside with a big heart than there are in the city.,Nafikiria kuna watu wengi kule masgambani walio na roho nzuri kuliko jijini.
"Her courage was like that of a man, and in man's clothes she served as a sailor on board ship.","Ujasiri wake ulikuwa kama ule wa mwanaume, na katika nguo za mwanaume alikuwa mhudumu wa meli baharini."
I can well remember the passionate interest that took possession of my entire body and soul when I first fell in love.,Ninakumbuka vyema shauku ya kupenda ambayo ilimiliki mwili na roho yangu yote nilipoanza kupenda.
He talked to me every day.,Aliongea nami kila siku.
Bon voyage! May you have good luck on your journey.,Safari njema! Uwe na bahati njema katika safari yako.
"“I can bring my laptop for you to copy it.” “Oh, don’t bother, no need to carry it around, I’d rather give you a memory stick later.”","""Naweza kuleta kipakatakilishi changu ili unakili."" ""Ah, usijisumbue, hakuna haja ya kuibeba, badala yake nitakupa flashi baadaye."""
